time             ,language   ,distributed,seed,hidden,rate,momentum,ticks,rand_range,num_train,boundary_precision,boundary_recall,boundary_F,word_precision,word_recall,word_F,expA_accuracy,expB_accuracy,expA_std,expB_std
03/28 at 23:55:37,danish     ,False      ,0.0 ,80.0  ,0.13,0.98    ,1.0  ,0.32      ,69669.0  ,0.359             ,0.902          ,0.514     ,0.065         ,0.163      ,0.093 ,0.533        ,0.652        ,0.083   ,0.074   
03/29 at 00:01:00,danish     ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.18      ,696692.0 ,0.639             ,0.57           ,0.602     ,0.255         ,0.228      ,0.241 ,0.738        ,0.755        ,0.069   ,0.069   
03/29 at 00:01:40,danish     ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.18      ,69669.0  ,0.678             ,0.687          ,0.683     ,0.373         ,0.378      ,0.375 ,0.78         ,0.789        ,0.069   ,0.067   
03/29 at 00:07:04,danish     ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.25      ,696692.0 ,0.636             ,0.609          ,0.622     ,0.289         ,0.277      ,0.283 ,0.758        ,0.752        ,0.067   ,0.069   
03/29 at 00:07:44,danish     ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.25      ,69669.0  ,0.698             ,0.55           ,0.616     ,0.314         ,0.248      ,0.277 ,0.78         ,0.815        ,0.068   ,0.064   
03/29 at 00:13:08,danish     ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.32      ,696692.0 ,0.573             ,0.577          ,0.575     ,0.223         ,0.225      ,0.224 ,0.757        ,0.77         ,0.069   ,0.068   
03/29 at 00:13:48,danish     ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.32      ,69669.0  ,0.646             ,0.642          ,0.644     ,0.364         ,0.362      ,0.363 ,0.763        ,0.758        ,0.07    ,0.069   
03/29 at 00:19:16,danish     ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.18      ,696692.0 ,0.664             ,0.606          ,0.634     ,0.332         ,0.303      ,0.317 ,0.792        ,0.696        ,0.068   ,0.074   
03/29 at 00:19:56,danish     ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.18      ,69669.0  ,0.694             ,0.583          ,0.634     ,0.353         ,0.296      ,0.322 ,0.764        ,0.75         ,0.072   ,0.068   
03/29 at 00:25:23,danish     ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.25      ,696692.0 ,0.69              ,0.661          ,0.676     ,0.425         ,0.407      ,0.416 ,0.67         ,0.744        ,0.075   ,0.069   
03/29 at 00:26:04,danish     ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.25      ,69669.0  ,0.727             ,0.547          ,0.625     ,0.39          ,0.293      ,0.335 ,0.734        ,0.779        ,0.071   ,0.066   
03/29 at 00:31:25,danish     ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.32      ,696692.0 ,0.642             ,0.625          ,0.634     ,0.298         ,0.29       ,0.294 ,0.75         ,0.783        ,0.07    ,0.069   
03/29 at 00:32:06,danish     ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.32      ,69669.0  ,0.596             ,0.625          ,0.61      ,0.273         ,0.287      ,0.28  ,0.757        ,0.782        ,0.067   ,0.071   
03/29 at 00:37:33,danish     ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.18      ,696692.0 ,0.587             ,0.726          ,0.649     ,0.332         ,0.41       ,0.367 ,0.615        ,0.621        ,0.077   ,0.076   
03/29 at 00:38:13,danish     ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.18      ,69669.0  ,0.516             ,0.733          ,0.606     ,0.19          ,0.27       ,0.223 ,0.644        ,0.619        ,0.075   ,0.077   
03/29 at 00:43:36,danish     ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.25      ,696692.0 ,0.616             ,0.795          ,0.694     ,0.359         ,0.463      ,0.404 ,0.536        ,0.572        ,0.082   ,0.077   
03/29 at 00:44:17,danish     ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.25      ,69669.0  ,0.519             ,0.225          ,0.314     ,0.158         ,0.068      ,0.095 ,0.662        ,0.684        ,0.078   ,0.072   
03/29 at 00:49:39,danish     ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.32      ,696692.0 ,0.658             ,0.739          ,0.696     ,0.365         ,0.41       ,0.387 ,0.607        ,0.614        ,0.08    ,0.08    
03/29 at 00:50:19,danish     ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.32      ,69669.0  ,0.63              ,0.166          ,0.263     ,0.21          ,0.055      ,0.088 ,0.578        ,0.717        ,0.08    ,0.072   
03/29 at 00:55:42,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.18      ,696692.0 ,0.632             ,0.537          ,0.581     ,0.291         ,0.248      ,0.268 ,0.806        ,0.739        ,0.065   ,0.072   
03/29 at 00:56:23,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.18      ,69669.0  ,0.708             ,0.577          ,0.636     ,0.38          ,0.309      ,0.341 ,0.697        ,0.776        ,0.074   ,0.064   
03/29 at 01:01:45,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.25      ,696692.0 ,0.603             ,0.658          ,0.629     ,0.304         ,0.332      ,0.318 ,0.723        ,0.714        ,0.073   ,0.074   
03/29 at 01:02:25,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.25      ,69669.0  ,0.665             ,0.564          ,0.61      ,0.346         ,0.293      ,0.317 ,0.728        ,0.741        ,0.074   ,0.072   
03/29 at 01:07:49,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.32      ,696692.0 ,0.581             ,0.622          ,0.601     ,0.243         ,0.261      ,0.252 ,0.753        ,0.749        ,0.071   ,0.072   
03/29 at 01:08:29,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.32      ,69669.0  ,0.636             ,0.534          ,0.581     ,0.283         ,0.238      ,0.258 ,0.737        ,0.746        ,0.073   ,0.069   
03/29 at 01:13:53,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.18      ,696692.0 ,0.7               ,0.622          ,0.659     ,0.363         ,0.322      ,0.341 ,0.71         ,0.668        ,0.073   ,0.077   
03/29 at 01:14:34,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.18      ,69669.0  ,0.622             ,0.58           ,0.6       ,0.308         ,0.287      ,0.297 ,0.688        ,0.721        ,0.074   ,0.073   
03/29 at 01:19:57,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.25      ,696692.0 ,0.65              ,0.564          ,0.604     ,0.282         ,0.244      ,0.262 ,0.73         ,0.728        ,0.071   ,0.072   
03/29 at 01:20:37,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.25      ,69669.0  ,0.721             ,0.7            ,0.711     ,0.446         ,0.433      ,0.44  ,0.742        ,0.71         ,0.072   ,0.074   
03/29 at 01:26:02,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.32      ,696692.0 ,0.645             ,0.687          ,0.666     ,0.361         ,0.384      ,0.372 ,0.748        ,0.689        ,0.069   ,0.078   
03/29 at 01:26:43,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.32      ,69669.0  ,0.572             ,0.544          ,0.558     ,0.236         ,0.225      ,0.23  ,0.698        ,0.753        ,0.074   ,0.068   
03/29 at 01:32:05,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.18      ,696692.0 ,0.481             ,0.857          ,0.616     ,0.183         ,0.326      ,0.234 ,0.587        ,0.558        ,0.081   ,0.08    
03/29 at 01:32:46,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.18      ,69669.0  ,0.473             ,0.831          ,0.603     ,0.204         ,0.358      ,0.26  ,0.546        ,0.655        ,0.082   ,0.077   
03/29 at 01:38:08,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.25      ,696692.0 ,0.58              ,0.827          ,0.682     ,0.349         ,0.498      ,0.411 ,0.624        ,0.535        ,0.076   ,0.08    
03/29 at 01:38:49,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.25      ,69669.0  ,0.464             ,0.873          ,0.606     ,0.182         ,0.342      ,0.238 ,0.619        ,0.608        ,0.078   ,0.08    
03/29 at 01:44:14,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.32      ,696692.0 ,0.55              ,0.801          ,0.653     ,0.284         ,0.414      ,0.337 ,0.615        ,0.516        ,0.077   ,0.083   
03/29 at 01:44:55,danish     ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.32      ,69669.0  ,0.639             ,0.15           ,0.243     ,0.222         ,0.052      ,0.084 ,0.581        ,0.523        ,0.079   ,0.081   
03/29 at 01:50:24,danish     ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.18      ,696692.0 ,0.624             ,0.45           ,0.523     ,0.24          ,0.173      ,0.201 ,0.704        ,0.689        ,0.074   ,0.075   
03/29 at 01:51:04,danish     ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.18      ,69669.0  ,0.74              ,0.482          ,0.584     ,0.32          ,0.208      ,0.252 ,0.728        ,0.731        ,0.074   ,0.074   
03/29 at 01:56:27,danish     ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.25      ,696692.0 ,0.663             ,0.629          ,0.645     ,0.34          ,0.322      ,0.331 ,0.732        ,0.709        ,0.069   ,0.074   
03/29 at 01:57:07,danish     ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.25      ,69669.0  ,0.506             ,0.593          ,0.546     ,0.167         ,0.195      ,0.18  ,0.737        ,0.718        ,0.071   ,0.07    
03/29 at 02:02:30,danish     ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.32      ,696692.0 ,0.64              ,0.55           ,0.592     ,0.28          ,0.241      ,0.259 ,0.728        ,0.762        ,0.071   ,0.069   
03/29 at 02:03:10,danish     ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.32      ,69669.0  ,0.685             ,0.674          ,0.68      ,0.401         ,0.394      ,0.397 ,0.777        ,0.709        ,0.067   ,0.071   
03/29 at 02:08:36,danish     ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.18      ,696692.0 ,0.685             ,0.658          ,0.671     ,0.41          ,0.394      ,0.402 ,0.663        ,0.636        ,0.076   ,0.076   
03/29 at 02:09:16,danish     ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.18      ,69669.0  ,0.699             ,0.606          ,0.649     ,0.402         ,0.349      ,0.373 ,0.775        ,0.73         ,0.065   ,0.067   
03/29 at 02:14:38,danish     ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.25      ,696692.0 ,0.666             ,0.687          ,0.676     ,0.363         ,0.375      ,0.369 ,0.705        ,0.691        ,0.072   ,0.074   
03/29 at 02:15:18,danish     ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.25      ,69669.0  ,0.661             ,0.583          ,0.619     ,0.317         ,0.28       ,0.298 ,0.738        ,0.749        ,0.071   ,0.07    
03/29 at 02:20:41,danish     ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.32      ,696692.0 ,0.561             ,0.586          ,0.573     ,0.243         ,0.254      ,0.248 ,0.687        ,0.689        ,0.077   ,0.074   
03/29 at 02:21:21,danish     ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.32      ,69669.0  ,0.506             ,0.661          ,0.573     ,0.182         ,0.238      ,0.206 ,0.71         ,0.734        ,0.073   ,0.069   
03/29 at 02:26:43,danish     ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.18      ,696692.0 ,0.449             ,0.824          ,0.582     ,0.169         ,0.309      ,0.218 ,0.538        ,0.525        ,0.08    ,0.08    
03/29 at 02:27:24,danish     ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.18      ,69669.0  ,0.348             ,0.71           ,0.467     ,0.07          ,0.143      ,0.094 ,0.584        ,0.569        ,0.084   ,0.081   
03/29 at 02:32:46,danish     ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.25      ,696692.0 ,0.476             ,0.853          ,0.611     ,0.204         ,0.365      ,0.261 ,0.603        ,0.535        ,0.079   ,0.08    
03/29 at 02:33:26,danish     ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.25      ,69669.0  ,0.41              ,0.814          ,0.545     ,0.111         ,0.221      ,0.148 ,0.557        ,0.541        ,0.083   ,0.081   
03/29 at 02:38:48,danish     ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.32      ,696692.0 ,0.483             ,0.818          ,0.607     ,0.212         ,0.358      ,0.266 ,0.538        ,0.559        ,0.081   ,0.079   
03/29 at 02:39:29,danish     ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.32      ,69669.0  ,0.496             ,0.863          ,0.63      ,0.208         ,0.362      ,0.264 ,0.581        ,0.56         ,0.081   ,0.081   
03/29 at 02:43:28,english    ,False      ,0.0 ,70.0  ,0.07,0.92    ,1.0  ,0.18      ,696692.0 ,0.725             ,0.703          ,0.714     ,0.387         ,0.375      ,0.381 ,0.732        ,0.737        ,0.07    ,0.074   
03/29 at 02:43:58,english    ,False      ,0.0 ,70.0  ,0.07,0.92    ,1.0  ,0.18      ,69669.0  ,0.705             ,0.621          ,0.661     ,0.337         ,0.297      ,0.316 ,0.655        ,0.744        ,0.077   ,0.075   
03/29 at 02:47:54,english    ,False      ,0.0 ,70.0  ,0.07,0.92    ,1.0  ,0.25      ,696692.0 ,0.667             ,0.758          ,0.709     ,0.351         ,0.399      ,0.374 ,0.731        ,0.727        ,0.068   ,0.077   
03/29 at 02:48:25,english    ,False      ,0.0 ,70.0  ,0.07,0.92    ,1.0  ,0.25      ,69669.0  ,0.631             ,0.7            ,0.663     ,0.265         ,0.294      ,0.278 ,0.746        ,0.741        ,0.074   ,0.072   
03/29 at 02:52:21,english    ,False      ,0.0 ,70.0  ,0.07,0.92    ,1.0  ,0.32      ,696692.0 ,0.726             ,0.84           ,0.778     ,0.463         ,0.536      ,0.497 ,0.703        ,0.776        ,0.074   ,0.066   
03/29 at 02:52:52,english    ,False      ,0.0 ,70.0  ,0.07,0.92    ,1.0  ,0.32      ,69669.0  ,0.695             ,0.567          ,0.624     ,0.301         ,0.246      ,0.271 ,0.73         ,0.756        ,0.069   ,0.073   
03/29 at 02:56:48,english    ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.18      ,696692.0 ,0.734             ,0.802          ,0.767     ,0.481         ,0.526      ,0.502 ,0.761        ,0.693        ,0.069   ,0.074   
03/29 at 02:57:19,english    ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.18      ,69669.0  ,0.711             ,0.614          ,0.659     ,0.356         ,0.307      ,0.33  ,0.721        ,0.714        ,0.072   ,0.074   
03/29 at 03:01:15,english    ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.25      ,696692.0 ,0.739             ,0.812          ,0.774     ,0.481         ,0.529      ,0.504 ,0.643        ,0.692        ,0.077   ,0.074   
03/29 at 03:01:45,english    ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.25      ,69669.0  ,0.66              ,0.696          ,0.678     ,0.333         ,0.352      ,0.342 ,0.699        ,0.725        ,0.076   ,0.071   
03/29 at 03:05:41,english    ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.32      ,696692.0 ,0.716             ,0.836          ,0.772     ,0.471         ,0.549      ,0.507 ,0.673        ,0.737        ,0.076   ,0.073   
03/29 at 03:06:12,english    ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.32      ,69669.0  ,0.669             ,0.642          ,0.655     ,0.278         ,0.266      ,0.272 ,0.683        ,0.712        ,0.075   ,0.072   
03/29 at 03:10:10,english    ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.18      ,696692.0 ,0.541             ,0.768          ,0.635     ,0.188         ,0.266      ,0.22  ,0.633        ,0.685        ,0.078   ,0.074   
03/29 at 03:10:41,english    ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.18      ,69669.0  ,1.0               ,0.072          ,0.134     ,0.143         ,0.01       ,0.019 ,0.662        ,0.709        ,0.078   ,0.073   
03/29 at 03:14:41,english    ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.25      ,696692.0 ,0.618             ,0.816          ,0.703     ,0.315         ,0.416      ,0.359 ,0.619        ,0.639        ,0.077   ,0.078   
03/29 at 03:15:11,english    ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.25      ,69669.0  ,0.667             ,0.075          ,0.135     ,0.091         ,0.01       ,0.018 ,0.668        ,0.641        ,0.076   ,0.078   
03/29 at 03:19:07,english    ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.32      ,696692.0 ,0.607             ,0.812          ,0.695     ,0.306         ,0.41       ,0.35  ,0.647        ,0.598        ,0.075   ,0.081   
03/29 at 03:19:38,english    ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.32      ,69669.0  ,0.871             ,0.092          ,0.167     ,0.129         ,0.014      ,0.025 ,0.615        ,0.69         ,0.079   ,0.07    
03/29 at 03:23:33,english    ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.18      ,696692.0 ,0.668             ,0.713          ,0.69      ,0.38          ,0.406      ,0.393 ,0.697        ,0.781        ,0.076   ,0.066   
03/29 at 03:24:04,english    ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.18      ,69669.0  ,0.699             ,0.642          ,0.669     ,0.353         ,0.324      ,0.338 ,0.673        ,0.723        ,0.074   ,0.072   
03/29 at 03:27:59,english    ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.25      ,696692.0 ,0.716             ,0.86           ,0.781     ,0.449         ,0.539      ,0.49  ,0.722        ,0.727        ,0.072   ,0.072   
03/29 at 03:28:30,english    ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.25      ,69669.0  ,0.687             ,0.747          ,0.716     ,0.395         ,0.43       ,0.412 ,0.715        ,0.734        ,0.076   ,0.072   
03/29 at 03:32:26,english    ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.32      ,696692.0 ,0.674             ,0.782          ,0.724     ,0.376         ,0.437      ,0.404 ,0.671        ,0.685        ,0.074   ,0.074   
03/29 at 03:32:56,english    ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.32      ,69669.0  ,0.701             ,0.689          ,0.695     ,0.358         ,0.352      ,0.355 ,0.703        ,0.698        ,0.075   ,0.071   
03/29 at 03:36:52,english    ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.18      ,696692.0 ,0.673             ,0.771          ,0.719     ,0.375         ,0.43       ,0.401 ,0.651        ,0.695        ,0.079   ,0.076   
03/29 at 03:37:23,english    ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.18      ,69669.0  ,0.664             ,0.648          ,0.656     ,0.308         ,0.3        ,0.304 ,0.703        ,0.665        ,0.076   ,0.073   
03/29 at 03:41:18,english    ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.25      ,696692.0 ,0.745             ,0.846          ,0.792     ,0.486         ,0.553      ,0.518 ,0.605        ,0.664        ,0.076   ,0.075   
03/29 at 03:41:49,english    ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.25      ,69669.0  ,0.673             ,0.645          ,0.659     ,0.331         ,0.317      ,0.324 ,0.664        ,0.731        ,0.078   ,0.069   
03/29 at 03:45:47,english    ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.32      ,696692.0 ,0.659             ,0.799          ,0.722     ,0.366         ,0.444      ,0.401 ,0.617        ,0.644        ,0.081   ,0.074   
03/29 at 03:46:18,english    ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.32      ,69669.0  ,0.675             ,0.737          ,0.705     ,0.338         ,0.369      ,0.352 ,0.659        ,0.688        ,0.074   ,0.076   
03/29 at 03:50:13,english    ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.18      ,696692.0 ,0.512             ,0.87           ,0.645     ,0.187         ,0.317      ,0.235 ,0.521        ,0.592        ,0.08    ,0.079   
03/29 at 03:50:44,english    ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.18      ,69669.0  ,0.569             ,0.126          ,0.207     ,0.015         ,0.003      ,0.006 ,0.629        ,0.673        ,0.078   ,0.078   
03/29 at 03:54:40,english    ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.25      ,696692.0 ,0.483             ,0.908          ,0.63      ,0.156         ,0.294      ,0.204 ,0.569        ,0.577        ,0.081   ,0.082   
03/29 at 03:55:10,english    ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.25      ,69669.0  ,0.406             ,0.133          ,0.201     ,0.021         ,0.007      ,0.01  ,0.61         ,0.649        ,0.081   ,0.078   
03/29 at 03:59:06,english    ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.32      ,696692.0 ,0.444             ,0.887          ,0.592     ,0.144         ,0.287      ,0.191 ,0.554        ,0.601        ,0.078   ,0.079   
03/29 at 03:59:37,english    ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.32      ,69669.0  ,0.357             ,0.034          ,0.062     ,0.036         ,0.003      ,0.006 ,0.681        ,0.561        ,0.074   ,0.083   
03/29 at 04:03:32,english    ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.18      ,696692.0 ,0.687             ,0.778          ,0.73      ,0.386         ,0.437      ,0.41  ,0.702        ,0.728        ,0.073   ,0.072   
03/29 at 04:04:03,english    ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.18      ,69669.0  ,0.677             ,0.7            ,0.688     ,0.366         ,0.379      ,0.372 ,0.699        ,0.744        ,0.076   ,0.07    
03/29 at 04:07:59,english    ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.25      ,696692.0 ,0.685             ,0.795          ,0.736     ,0.388         ,0.451      ,0.417 ,0.686        ,0.712        ,0.077   ,0.072   
03/29 at 04:08:30,english    ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.25      ,69669.0  ,0.63              ,0.372          ,0.468     ,0.237         ,0.14       ,0.176 ,0.665        ,0.73         ,0.078   ,0.072   
03/29 at 04:12:25,english    ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.32      ,696692.0 ,0.699             ,0.823          ,0.755     ,0.423         ,0.498      ,0.458 ,0.652        ,0.729        ,0.075   ,0.071   
03/29 at 04:12:56,english    ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.32      ,69669.0  ,0.723             ,0.713          ,0.718     ,0.381         ,0.375      ,0.378 ,0.651        ,0.689        ,0.079   ,0.075   
03/29 at 04:16:51,english    ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.18      ,696692.0 ,0.658             ,0.73           ,0.693     ,0.332         ,0.369      ,0.35  ,0.669        ,0.681        ,0.075   ,0.073   
03/29 at 04:17:22,english    ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.18      ,69669.0  ,0.652             ,0.724          ,0.686     ,0.354         ,0.392      ,0.372 ,0.666        ,0.721        ,0.078   ,0.075   
03/29 at 04:21:18,english    ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.25      ,696692.0 ,0.678             ,0.792          ,0.731     ,0.424         ,0.495      ,0.457 ,0.586        ,0.678        ,0.081   ,0.079   
03/29 at 04:21:48,english    ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.25      ,69669.0  ,0.598             ,0.71           ,0.649     ,0.287         ,0.341      ,0.312 ,0.669        ,0.712        ,0.077   ,0.072   
03/29 at 04:25:43,english    ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.32      ,696692.0 ,0.713             ,0.799          ,0.754     ,0.47          ,0.526      ,0.496 ,0.64         ,0.657        ,0.076   ,0.079   
03/29 at 04:26:14,english    ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.32      ,69669.0  ,0.658             ,0.775          ,0.712     ,0.354         ,0.416      ,0.382 ,0.576        ,0.71         ,0.082   ,0.079   
03/29 at 04:30:10,english    ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.18      ,696692.0 ,0.351             ,0.952          ,0.512     ,0.064         ,0.174      ,0.094 ,0.519        ,0.587        ,0.08    ,0.079   
03/29 at 04:30:41,english    ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.18      ,69669.0  ,0.333             ,0.031          ,0.056     ,0.0           ,0.0        ,0.0   ,0.622        ,0.597        ,0.08    ,0.079   
03/29 at 04:34:36,english    ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.25      ,696692.0 ,0.367             ,0.918          ,0.524     ,0.057         ,0.143      ,0.082 ,0.577        ,0.6          ,0.08    ,0.082   
03/29 at 04:35:07,english    ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.25      ,69669.0  ,0.216             ,0.038          ,0.064     ,0.0           ,0.0        ,0.0   ,0.546        ,0.605        ,0.082   ,0.075   
03/29 at 04:39:02,english    ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.32      ,696692.0 ,0.42              ,0.908          ,0.574     ,0.099         ,0.215      ,0.136 ,0.547        ,0.597        ,0.08    ,0.082   
