time             ,language   ,distributed,seed,hidden,rate,momentum,ticks,rand_range,num_train,boundary_precision,boundary_recall,boundary_F,word_precision,word_recall,word_F,expA_accuracy,expB_accuracy,expA_std,expB_std
03/29 at 04:39:33,english    ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.32      ,69669.0  ,1.0               ,0.031          ,0.06      ,0.0           ,0.0        ,0.0   ,0.611        ,0.619        ,0.079   ,0.079   
03/29 at 04:44:13,english    ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.18      ,696692.0 ,0.707             ,0.758          ,0.731     ,0.376         ,0.403      ,0.389 ,0.724        ,0.748        ,0.072   ,0.068   
03/29 at 04:44:48,english    ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.18      ,69669.0  ,0.691             ,0.686          ,0.688     ,0.337         ,0.334      ,0.336 ,0.715        ,0.721        ,0.074   ,0.073   
03/29 at 04:49:28,english    ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.25      ,696692.0 ,0.749             ,0.662          ,0.703     ,0.421         ,0.372      ,0.395 ,0.698        ,0.702        ,0.075   ,0.074   
03/29 at 04:50:03,english    ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.25      ,69669.0  ,0.688             ,0.563          ,0.619     ,0.338         ,0.276      ,0.304 ,0.678        ,0.689        ,0.075   ,0.076   
03/29 at 04:54:43,english    ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.32      ,696692.0 ,0.759             ,0.805          ,0.781     ,0.46          ,0.488      ,0.474 ,0.712        ,0.736        ,0.071   ,0.071   
03/29 at 04:55:18,english    ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.32      ,69669.0  ,0.676             ,0.57           ,0.619     ,0.296         ,0.249      ,0.27  ,0.679        ,0.776        ,0.076   ,0.066   
03/29 at 04:59:58,english    ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.18      ,696692.0 ,0.7               ,0.805          ,0.749     ,0.421         ,0.485      ,0.451 ,0.745        ,0.755        ,0.07    ,0.068   
03/29 at 05:00:34,english    ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.18      ,69669.0  ,0.614             ,0.58           ,0.596     ,0.231         ,0.218      ,0.225 ,0.742        ,0.713        ,0.073   ,0.072   
03/29 at 05:05:12,english    ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.25      ,696692.0 ,0.746             ,0.812          ,0.778     ,0.486         ,0.529      ,0.507 ,0.683        ,0.747        ,0.075   ,0.068   
03/29 at 05:05:47,english    ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.25      ,69669.0  ,0.753             ,0.594          ,0.664     ,0.372         ,0.294      ,0.328 ,0.664        ,0.729        ,0.075   ,0.072   
03/29 at 05:10:28,english    ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.32      ,696692.0 ,0.71              ,0.72           ,0.715     ,0.421         ,0.427      ,0.424 ,0.712        ,0.753        ,0.071   ,0.07    
03/29 at 05:11:03,english    ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.32      ,69669.0  ,0.678             ,0.495          ,0.572     ,0.294         ,0.215      ,0.249 ,0.68         ,0.71         ,0.074   ,0.074   
03/29 at 05:15:41,english    ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.18      ,696692.0 ,0.682             ,0.799          ,0.736     ,0.405         ,0.474      ,0.437 ,0.571        ,0.609        ,0.081   ,0.08    
03/29 at 05:16:17,english    ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.18      ,69669.0  ,0.418             ,0.078          ,0.132     ,0.036         ,0.007      ,0.011 ,0.638        ,0.674        ,0.076   ,0.073   
03/29 at 05:20:56,english    ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.25      ,696692.0 ,0.625             ,0.86           ,0.724     ,0.362         ,0.498      ,0.42  ,0.607        ,0.64         ,0.08    ,0.079   
03/29 at 05:21:31,english    ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.25      ,69669.0  ,0.706             ,0.082          ,0.147     ,0.059         ,0.007      ,0.012 ,0.594        ,0.763        ,0.079   ,0.071   
03/29 at 05:26:10,english    ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.32      ,696692.0 ,0.546             ,0.809          ,0.652     ,0.219         ,0.324      ,0.261 ,0.626        ,0.6          ,0.076   ,0.083   
03/29 at 05:26:45,english    ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.32      ,69669.0  ,0.941             ,0.055          ,0.103     ,0.059         ,0.003      ,0.006 ,0.696        ,0.653        ,0.074   ,0.079   
03/29 at 05:31:24,english    ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.18      ,696692.0 ,0.69              ,0.737          ,0.713     ,0.39          ,0.416      ,0.403 ,0.72         ,0.727        ,0.072   ,0.074   
03/29 at 05:32:00,english    ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.18      ,69669.0  ,0.747             ,0.563          ,0.642     ,0.362         ,0.273      ,0.311 ,0.686        ,0.717        ,0.079   ,0.077   
03/29 at 05:36:39,english    ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.25      ,696692.0 ,0.697             ,0.724          ,0.71      ,0.375         ,0.389      ,0.382 ,0.729        ,0.686        ,0.07    ,0.077   
03/29 at 05:37:14,english    ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.25      ,69669.0  ,0.69              ,0.713          ,0.701     ,0.347         ,0.358      ,0.352 ,0.698        ,0.759        ,0.074   ,0.07    
03/29 at 05:41:53,english    ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.32      ,696692.0 ,0.725             ,0.782          ,0.752     ,0.449         ,0.485      ,0.466 ,0.707        ,0.731        ,0.075   ,0.068   
03/29 at 05:42:29,english    ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.32      ,69669.0  ,0.671             ,0.71           ,0.69      ,0.313         ,0.331      ,0.322 ,0.717        ,0.774        ,0.073   ,0.066   
03/29 at 05:47:07,english    ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.18      ,696692.0 ,0.688             ,0.805          ,0.742     ,0.405         ,0.474      ,0.437 ,0.665        ,0.71         ,0.077   ,0.072   
03/29 at 05:47:43,english    ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.18      ,69669.0  ,0.652             ,0.672          ,0.662     ,0.334         ,0.345      ,0.339 ,0.659        ,0.696        ,0.078   ,0.075   
03/29 at 05:52:22,english    ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.25      ,696692.0 ,0.685             ,0.823          ,0.747     ,0.403         ,0.485      ,0.44  ,0.642        ,0.659        ,0.076   ,0.075   
03/29 at 05:52:58,english    ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.25      ,69669.0  ,0.612             ,0.642          ,0.627     ,0.29          ,0.304      ,0.297 ,0.664        ,0.708        ,0.078   ,0.072   
03/29 at 05:57:38,english    ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.32      ,696692.0 ,0.729             ,0.816          ,0.77      ,0.454         ,0.509      ,0.48  ,0.677        ,0.673        ,0.075   ,0.072   
03/29 at 05:58:13,english    ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.32      ,69669.0  ,0.588             ,0.389          ,0.468     ,0.191         ,0.126      ,0.152 ,0.652        ,0.717        ,0.08    ,0.076   
03/29 at 06:02:52,english    ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.18      ,696692.0 ,0.375             ,0.908          ,0.531     ,0.076         ,0.184      ,0.108 ,0.567        ,0.548        ,0.08    ,0.082   
03/29 at 06:03:27,english    ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.18      ,69669.0  ,1.0               ,0.048          ,0.091     ,0.071         ,0.003      ,0.007 ,0.604        ,0.652        ,0.075   ,0.076   
03/29 at 06:08:06,english    ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.25      ,696692.0 ,0.396             ,0.98           ,0.564     ,0.083         ,0.205      ,0.118 ,0.568        ,0.573        ,0.078   ,0.077   
03/29 at 06:08:42,english    ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.25      ,69669.0  ,0.61              ,0.171          ,0.267     ,0.037         ,0.01       ,0.016 ,0.591        ,0.626        ,0.08    ,0.079   
03/29 at 06:13:21,english    ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.32      ,696692.0 ,0.397             ,0.904          ,0.552     ,0.093         ,0.212      ,0.129 ,0.565        ,0.645        ,0.08    ,0.076   
03/29 at 06:13:56,english    ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.32      ,69669.0  ,1.0               ,0.048          ,0.091     ,0.0           ,0.0        ,0.0   ,0.629        ,0.578        ,0.077   ,0.081   
03/29 at 06:18:36,english    ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.18      ,696692.0 ,0.721             ,0.84           ,0.776     ,0.455         ,0.529      ,0.489 ,0.7          ,0.687        ,0.074   ,0.075   
03/29 at 06:19:11,english    ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.18      ,69669.0  ,0.676             ,0.648          ,0.662     ,0.317         ,0.304      ,0.31  ,0.728        ,0.758        ,0.073   ,0.073   
03/29 at 06:23:50,english    ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.25      ,696692.0 ,0.743             ,0.819          ,0.779     ,0.486         ,0.536      ,0.51  ,0.669        ,0.696        ,0.079   ,0.075   
03/29 at 06:24:26,english    ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.25      ,69669.0  ,0.672             ,0.587          ,0.627     ,0.273         ,0.239      ,0.255 ,0.661        ,0.691        ,0.078   ,0.074   
03/29 at 06:29:05,english    ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.32      ,696692.0 ,0.697             ,0.768          ,0.731     ,0.412         ,0.454      ,0.432 ,0.66         ,0.688        ,0.074   ,0.077   
03/29 at 06:29:41,english    ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.32      ,69669.0  ,0.705             ,0.71           ,0.707     ,0.39          ,0.392      ,0.391 ,0.701        ,0.706        ,0.073   ,0.075   
03/29 at 06:34:21,english    ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.18      ,696692.0 ,0.687             ,0.877          ,0.771     ,0.422         ,0.539      ,0.474 ,0.662        ,0.664        ,0.077   ,0.074   
03/29 at 06:34:56,english    ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.18      ,69669.0  ,0.663             ,0.645          ,0.654     ,0.309         ,0.3        ,0.304 ,0.697        ,0.703        ,0.075   ,0.074   
03/29 at 06:39:35,english    ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.25      ,696692.0 ,0.7               ,0.795          ,0.744     ,0.444         ,0.505      ,0.473 ,0.655        ,0.677        ,0.077   ,0.074   
03/29 at 06:40:11,english    ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.25      ,69669.0  ,0.669             ,0.71           ,0.689     ,0.312         ,0.331      ,0.321 ,0.656        ,0.715        ,0.074   ,0.075   
03/29 at 06:44:50,english    ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.32      ,696692.0 ,0.678             ,0.799          ,0.734     ,0.42          ,0.495      ,0.455 ,0.64         ,0.744        ,0.079   ,0.07    
03/29 at 06:45:26,english    ,False      ,0.0 ,80.0  ,0.13,0.95    ,1.0  ,0.32      ,69669.0  ,0.682             ,0.805          ,0.739     ,0.416         ,0.491      ,0.451 ,0.654        ,0.717        ,0.079   ,0.072   
03/29 at 06:50:05,english    ,False      ,0.0 ,80.0  ,0.13,0.98    ,1.0  ,0.18      ,696692.0 ,0.403             ,0.959          ,0.568     ,0.083         ,0.198      ,0.117 ,0.582        ,0.585        ,0.079   ,0.081   
03/29 at 06:50:40,english    ,False      ,0.0 ,80.0  ,0.13,0.98    ,1.0  ,0.18      ,69669.0  ,0.346             ,0.956          ,0.508     ,0.047         ,0.13       ,0.069 ,0.571        ,0.609        ,0.078   ,0.078   
03/29 at 06:55:19,english    ,False      ,0.0 ,80.0  ,0.13,0.98    ,1.0  ,0.25      ,696692.0 ,0.38              ,0.993          ,0.55      ,0.076         ,0.198      ,0.11  ,0.534        ,0.59         ,0.08    ,0.081   
03/29 at 06:55:55,english    ,False      ,0.0 ,80.0  ,0.13,0.98    ,1.0  ,0.25      ,69669.0  ,0.349             ,0.829          ,0.491     ,0.069         ,0.164      ,0.097 ,0.566        ,0.59         ,0.08    ,0.08    
03/29 at 07:00:34,english    ,False      ,0.0 ,80.0  ,0.13,0.98    ,1.0  ,0.32      ,696692.0 ,0.367             ,0.922          ,0.525     ,0.064         ,0.16       ,0.091 ,0.529        ,0.567        ,0.081   ,0.076   
03/29 at 07:01:10,english    ,False      ,0.0 ,80.0  ,0.13,0.98    ,1.0  ,0.32      ,69669.0  ,0.206             ,0.075          ,0.11      ,0.009         ,0.003      ,0.005 ,0.599        ,0.587        ,0.079   ,0.081   
03/29 at 07:06:37,english    ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.18      ,696692.0 ,0.726             ,0.741          ,0.733     ,0.455         ,0.464      ,0.459 ,0.76         ,0.725        ,0.069   ,0.068   
03/29 at 07:07:18,english    ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.18      ,69669.0  ,0.724             ,0.689          ,0.706     ,0.398         ,0.379      ,0.388 ,0.704        ,0.76         ,0.074   ,0.069   
03/29 at 07:12:48,english    ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.25      ,696692.0 ,0.756             ,0.73           ,0.743     ,0.456         ,0.44       ,0.448 ,0.688        ,0.752        ,0.077   ,0.069   
03/29 at 07:13:29,english    ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.25      ,69669.0  ,0.767             ,0.608          ,0.678     ,0.448         ,0.355      ,0.396 ,0.715        ,0.729        ,0.076   ,0.074   
03/29 at 07:18:56,english    ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.32      ,696692.0 ,0.712             ,0.717          ,0.714     ,0.393         ,0.396      ,0.395 ,0.761        ,0.788        ,0.07    ,0.065   
03/29 at 07:19:37,english    ,False      ,0.0 ,90.0  ,0.07,0.92    ,1.0  ,0.32      ,69669.0  ,0.703             ,0.669          ,0.685     ,0.362         ,0.345      ,0.353 ,0.747        ,0.709        ,0.071   ,0.074   
03/29 at 07:25:05,english    ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.18      ,696692.0 ,0.665             ,0.737          ,0.699     ,0.351         ,0.389      ,0.369 ,0.671        ,0.736        ,0.074   ,0.075   
03/29 at 07:25:46,english    ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.18      ,69669.0  ,0.714             ,0.604          ,0.654     ,0.323         ,0.273      ,0.296 ,0.682        ,0.704        ,0.074   ,0.073   
03/29 at 07:31:13,english    ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.25      ,696692.0 ,0.664             ,0.734          ,0.697     ,0.373         ,0.413      ,0.392 ,0.686        ,0.698        ,0.076   ,0.078   
03/29 at 07:31:55,english    ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.25      ,69669.0  ,0.779             ,0.72           ,0.748     ,0.443         ,0.41       ,0.426 ,0.687        ,0.676        ,0.073   ,0.075   
03/29 at 07:37:23,english    ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.32      ,696692.0 ,0.737             ,0.812          ,0.773     ,0.455         ,0.502      ,0.477 ,0.746        ,0.701        ,0.074   ,0.071   
03/29 at 07:38:04,english    ,False      ,0.0 ,90.0  ,0.07,0.95    ,1.0  ,0.32      ,69669.0  ,0.691             ,0.481          ,0.567     ,0.289         ,0.201      ,0.237 ,0.704        ,0.718        ,0.077   ,0.07    
03/29 at 07:43:31,english    ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.18      ,696692.0 ,0.613             ,0.778          ,0.686     ,0.344         ,0.437      ,0.385 ,0.601        ,0.621        ,0.08    ,0.078   
03/29 at 07:44:12,english    ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.18      ,69669.0  ,0.571             ,0.768          ,0.655     ,0.251         ,0.338      ,0.288 ,0.648        ,0.722        ,0.078   ,0.072   
03/29 at 07:49:39,english    ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.25      ,696692.0 ,0.558             ,0.85           ,0.674     ,0.244         ,0.372      ,0.295 ,0.615        ,0.655        ,0.076   ,0.077   
03/29 at 07:50:20,english    ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.25      ,69669.0  ,0.658             ,0.655          ,0.656     ,0.295         ,0.294      ,0.294 ,0.595        ,0.668        ,0.076   ,0.074   
03/29 at 07:55:48,english    ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.32      ,696692.0 ,0.579             ,0.84           ,0.685     ,0.282         ,0.41       ,0.334 ,0.552        ,0.577        ,0.077   ,0.079   
03/29 at 07:56:30,english    ,False      ,0.0 ,90.0  ,0.07,0.98    ,1.0  ,0.32      ,69669.0  ,0.718             ,0.191          ,0.302     ,0.115         ,0.031      ,0.049 ,0.664        ,0.709        ,0.077   ,0.073   
03/29 at 08:01:56,english    ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.18      ,696692.0 ,0.716             ,0.782          ,0.747     ,0.425         ,0.464      ,0.444 ,0.678        ,0.745        ,0.078   ,0.075   
03/29 at 08:02:37,english    ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.18      ,69669.0  ,0.62              ,0.539          ,0.577     ,0.227         ,0.198      ,0.212 ,0.674        ,0.751        ,0.078   ,0.071   
03/29 at 08:08:04,english    ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.25      ,696692.0 ,0.729             ,0.761          ,0.745     ,0.448         ,0.468      ,0.457 ,0.702        ,0.729        ,0.075   ,0.072   
03/29 at 08:08:45,english    ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.25      ,69669.0  ,0.716             ,0.498          ,0.588     ,0.25          ,0.174      ,0.205 ,0.69         ,0.768        ,0.077   ,0.071   
03/29 at 08:14:13,english    ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.32      ,696692.0 ,0.711             ,0.765          ,0.737     ,0.422         ,0.454      ,0.438 ,0.68         ,0.732        ,0.074   ,0.07    
03/29 at 08:14:55,english    ,False      ,0.0 ,90.0  ,0.1 ,0.92    ,1.0  ,0.32      ,69669.0  ,0.738             ,0.73           ,0.734     ,0.441         ,0.437      ,0.439 ,0.692        ,0.765        ,0.077   ,0.068   
03/29 at 08:20:23,english    ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.18      ,696692.0 ,0.734             ,0.706          ,0.72      ,0.422         ,0.406      ,0.414 ,0.625        ,0.649        ,0.076   ,0.077   
03/29 at 08:21:04,english    ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.18      ,69669.0  ,0.682             ,0.747          ,0.713     ,0.361         ,0.396      ,0.378 ,0.667        ,0.712        ,0.077   ,0.073   
03/29 at 08:26:31,english    ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.25      ,696692.0 ,0.71              ,0.751          ,0.73      ,0.452         ,0.478      ,0.464 ,0.633        ,0.702        ,0.078   ,0.073   
03/29 at 08:27:12,english    ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.25      ,69669.0  ,0.652             ,0.512          ,0.574     ,0.287         ,0.225      ,0.252 ,0.708        ,0.701        ,0.071   ,0.076   
03/29 at 08:32:42,english    ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.32      ,696692.0 ,0.706             ,0.778          ,0.74      ,0.393         ,0.433      ,0.412 ,0.669        ,0.7          ,0.078   ,0.076   
03/29 at 08:33:23,english    ,False      ,0.0 ,90.0  ,0.1 ,0.95    ,1.0  ,0.32      ,69669.0  ,0.743             ,0.621          ,0.677     ,0.371         ,0.311      ,0.338 ,0.656        ,0.716        ,0.076   ,0.07    
03/29 at 08:38:50,english    ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.18      ,696692.0 ,0.451             ,0.918          ,0.604     ,0.132         ,0.27       ,0.178 ,0.546        ,0.618        ,0.081   ,0.078   
03/29 at 08:39:31,english    ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.18      ,69669.0  ,1.0               ,0.031          ,0.06      ,0.0           ,0.0        ,0.0   ,0.613        ,0.676        ,0.076   ,0.074   
03/29 at 08:44:59,english    ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.25      ,696692.0 ,0.407             ,0.881          ,0.557     ,0.084         ,0.181      ,0.114 ,0.546        ,0.605        ,0.08    ,0.079   
03/29 at 08:45:40,english    ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.25      ,69669.0  ,1.0               ,0.031          ,0.06      ,0.0           ,0.0        ,0.0   ,0.615        ,0.633        ,0.079   ,0.076   
03/29 at 08:51:08,english    ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.32      ,696692.0 ,0.385             ,0.887          ,0.537     ,0.092         ,0.212      ,0.128 ,0.512        ,0.623        ,0.079   ,0.079   
03/29 at 08:51:49,english    ,False      ,0.0 ,90.0  ,0.1 ,0.98    ,1.0  ,0.32      ,69669.0  ,0.424             ,0.048          ,0.086     ,0.0           ,0.0        ,0.0   ,0.612        ,0.627        ,0.079   ,0.078   
03/29 at 08:57:16,english    ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.18      ,696692.0 ,0.711             ,0.771          ,0.74      ,0.45          ,0.488      ,0.468 ,0.653        ,0.739        ,0.077   ,0.072   
03/29 at 08:57:57,english    ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.18      ,69669.0  ,0.664             ,0.485          ,0.56      ,0.285         ,0.208      ,0.241 ,0.721        ,0.699        ,0.074   ,0.079   
03/29 at 09:03:24,english    ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.25      ,696692.0 ,0.684             ,0.717          ,0.7       ,0.388         ,0.406      ,0.397 ,0.659        ,0.705        ,0.077   ,0.073   
03/29 at 09:04:05,english    ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.25      ,69669.0  ,0.715             ,0.625          ,0.667     ,0.379         ,0.331      ,0.353 ,0.737        ,0.684        ,0.072   ,0.077   
03/29 at 09:09:33,english    ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.32      ,696692.0 ,0.684             ,0.782          ,0.729     ,0.382         ,0.437      ,0.408 ,0.663        ,0.668        ,0.078   ,0.076   
03/29 at 09:10:14,english    ,False      ,0.0 ,90.0  ,0.13,0.92    ,1.0  ,0.32      ,69669.0  ,0.7               ,0.621          ,0.658     ,0.362         ,0.321      ,0.34  ,0.707        ,0.707        ,0.072   ,0.073   
03/29 at 09:15:41,english    ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.18      ,696692.0 ,0.663             ,0.771          ,0.713     ,0.37          ,0.43       ,0.397 ,0.664        ,0.704        ,0.077   ,0.073   
03/29 at 09:16:23,english    ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.18      ,69669.0  ,0.66              ,0.761          ,0.707     ,0.334         ,0.386      ,0.358 ,0.675        ,0.682        ,0.074   ,0.074   
03/29 at 09:21:50,english    ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.25      ,696692.0 ,0.691             ,0.846          ,0.761     ,0.401         ,0.491      ,0.442 ,0.599        ,0.688        ,0.076   ,0.076   
03/29 at 09:22:31,english    ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.25      ,69669.0  ,0.736             ,0.532          ,0.618     ,0.34          ,0.246      ,0.285 ,0.628        ,0.704        ,0.076   ,0.075   
03/29 at 09:27:58,english    ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.32      ,696692.0 ,0.664             ,0.809          ,0.729     ,0.409         ,0.498      ,0.449 ,0.665        ,0.585        ,0.074   ,0.081   
03/29 at 09:28:39,english    ,False      ,0.0 ,90.0  ,0.13,0.95    ,1.0  ,0.32      ,69669.0  ,0.557             ,0.167          ,0.257     ,0.091         ,0.027      ,0.042 ,0.658        ,0.68         ,0.076   ,0.075   
03/29 at 09:34:07,english    ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.18      ,696692.0 ,0.359             ,0.829          ,0.502     ,0.058         ,0.133      ,0.08  ,0.562        ,0.571        ,0.08    ,0.078   
03/29 at 09:34:48,english    ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.18      ,69669.0  ,0.336             ,0.922          ,0.492     ,0.047         ,0.13       ,0.069 ,0.542        ,0.667        ,0.081   ,0.073   
03/29 at 09:40:15,english    ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.25      ,696692.0 ,0.367             ,0.904          ,0.522     ,0.075         ,0.184      ,0.106 ,0.583        ,0.611        ,0.078   ,0.081   
03/29 at 09:40:57,english    ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.25      ,69669.0  ,0.336             ,0.836          ,0.479     ,0.029         ,0.072      ,0.041 ,0.535        ,0.564        ,0.081   ,0.08    
03/29 at 09:46:23,english    ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.32      ,696692.0 ,0.353             ,0.911          ,0.509     ,0.052         ,0.133      ,0.074 ,0.545        ,0.588        ,0.081   ,0.076   
03/29 at 09:47:05,english    ,False      ,0.0 ,90.0  ,0.13,0.98    ,1.0  ,0.32      ,69669.0  ,0.356             ,0.765          ,0.485     ,0.048         ,0.102      ,0.065 ,0.569        ,0.589        ,0.08    ,0.083               