time             ,lang   ,distributed,seed,word_F             ,contoid_accuracy   ,vocoid_accuracy   
05/25 at 14:36:16,danish ,False      ,0   ,0.3548922056384743 ,0.6666666666666667 ,0.6666666666666667
05/25 at 16:13:18,danish ,False      ,10  ,0.3306055646481178 ,0.5555555555555556 ,0.8333333333333334
05/25 at 16:23:00,danish ,False      ,11  ,0.41233766233766234,0.5833333333333333 ,0.75              
05/25 at 16:32:42,danish ,False      ,12  ,0.3535031847133758 ,0.6388888888888888 ,0.7222222222222222
05/25 at 16:42:48,danish ,False      ,13  ,0.2251655629139073 ,0.7222222222222222 ,0.8888888888888888
05/25 at 17:02:32,danish ,False      ,14  ,0.2774957698815567 ,0.5833333333333333 ,0.6944444444444444
05/25 at 17:22:33,danish ,False      ,15  ,0.37499999999999994,0.6111111111111112 ,0.5833333333333333
05/25 at 17:42:22,danish ,False      ,16  ,0.30715532286212915,0.7222222222222222 ,0.7222222222222222
05/25 at 18:00:02,danish ,False      ,17  ,0.2915360501567398 ,0.75               ,0.75              
05/25 at 18:09:55,danish ,False      ,18  ,0.23510466988727857,0.6388888888888888 ,0.6944444444444444
05/25 at 18:19:35,danish ,False      ,19  ,0.30769230769230765,0.6944444444444444 ,0.75              
05/25 at 14:46:06,danish ,False      ,1   ,0.2932454695222405 ,0.6944444444444444 ,0.5277777777777778
05/25 at 18:29:19,danish ,False      ,20  ,0.33389544688026973,0.6388888888888888 ,0.6944444444444444
05/25 at 18:39:00,danish ,False      ,21  ,0.20408163265306123,0.6944444444444444 ,0.7222222222222222
05/25 at 18:48:40,danish ,False      ,22  ,0.29606299212598425,0.7777777777777778 ,0.7222222222222222
05/25 at 18:58:27,danish ,False      ,23  ,0.2851985559566787 ,0.75               ,0.6111111111111112
05/25 at 19:08:08,danish ,False      ,24  ,0.22258064516129034,0.6944444444444444 ,0.5555555555555556
05/25 at 19:17:49,danish ,False      ,25  ,0.24212271973466004,0.75               ,0.6111111111111112
05/25 at 19:27:30,danish ,False      ,26  ,0.3104056437389771 ,0.8611111111111112 ,0.6666666666666667
05/25 at 19:37:12,danish ,False      ,27  ,0.2882562277580071 ,0.6111111111111112 ,0.8055555555555556
05/25 at 14:55:47,danish ,False      ,2   ,0.36614853195164077,0.5                ,0.6111111111111112
05/25 at 15:05:28,danish ,False      ,3   ,0.23304347826086957,0.6944444444444444 ,0.6666666666666667
05/25 at 15:15:10,danish ,False      ,4   ,0.4383116883116882 ,0.6944444444444444 ,0.6944444444444444
05/25 at 15:24:52,danish ,False      ,5   ,0.2653061224489796 ,0.6944444444444444 ,0.7777777777777778
05/25 at 15:34:34,danish ,False      ,6   ,0.23509933774834435,0.7777777777777778 ,0.75              
05/25 at 15:44:16,danish ,False      ,7   ,0.4228395061728395 ,0.5                ,0.6388888888888888
05/25 at 15:53:57,danish ,False      ,8   ,0.39530988274706863,0.8611111111111112 ,0.7222222222222222
05/25 at 16:03:37,danish ,False      ,9   ,0.3300653594771242 ,0.7222222222222222 ,0.8333333333333334
05/25 at 19:46:53,english,False      ,0   ,0.3851590106007068 ,0.6666666666666667 ,0.7222222222222222
05/25 at 21:23:56,english,False      ,10  ,0.367003367003367  ,0.6388888888888888 ,0.6944444444444444
05/25 at 21:33:40,english,False      ,11  ,0.3537653239929947 ,0.6666666666666667 ,0.6111111111111112
05/25 at 21:43:22,english,False      ,12  ,0.3777777777777777 ,0.5833333333333333 ,0.5833333333333333
05/25 at 21:53:06,english,False      ,13  ,0.40871021775544386,0.4722222222222222 ,0.6388888888888888
05/25 at 22:02:47,english,False      ,14  ,0.36363636363636365,0.5833333333333333 ,0.6666666666666667
05/25 at 22:12:31,english,False      ,15  ,0.4103392568659127 ,0.6111111111111112 ,0.6944444444444444
05/25 at 22:22:19,english,False      ,16  ,0.35208711433756806,0.6388888888888888 ,0.6944444444444444
05/25 at 22:32:01,english,False      ,17  ,0.45565217391304347,0.5277777777777778 ,0.75              
05/25 at 22:41:44,english,False      ,18  ,0.41008403361344536,0.5833333333333333 ,0.75              
05/25 at 22:51:24,english,False      ,19  ,0.38142620232172475,0.75               ,0.5277777777777778
05/25 at 19:56:37,english,False      ,1   ,0.4433164128595601 ,0.75               ,0.6944444444444444
05/25 at 23:01:08,english,False      ,20  ,0.3583061889250814 ,0.6944444444444444 ,0.6666666666666667
05/25 at 23:10:51,english,False      ,21  ,0.3836065573770492 ,0.6388888888888888 ,0.5555555555555556
05/25 at 23:20:32,english,False      ,22  ,0.4091710758377425 ,0.41666666666666663,0.6111111111111112
05/25 at 23:30:14,english,False      ,23  ,0.4623115577889447 ,0.75               ,0.7777777777777778
05/25 at 23:39:56,english,False      ,24  ,0.36777583187390545,0.6944444444444444 ,0.6111111111111112
05/25 at 23:49:40,english,False      ,25  ,0.33628318584070793,0.7222222222222222 ,0.7222222222222222
05/25 at 23:59:22,english,False      ,26  ,0.31693989071038253,0.8888888888888888 ,0.5833333333333333
05/26 at 00:12:17,english,False      ,27  ,0.35750421585160197,0.5555555555555556 ,0.5833333333333333
05/25 at 20:06:17,english,False      ,2   ,0.4397905759162304 ,0.7222222222222222 ,0.7777777777777778
05/25 at 20:16:01,english,False      ,3   ,0.4114671163575042 ,0.6666666666666667 ,0.6944444444444444
05/25 at 20:25:43,english,False      ,4   ,0.3509369676320273 ,0.6666666666666667 ,0.7777777777777778
05/25 at 20:35:24,english,False      ,5   ,0.4252252252252252 ,0.7777777777777778 ,0.6944444444444444
05/25 at 20:45:10,english,False      ,6   ,0.3979416809605489 ,0.6944444444444444 ,0.5833333333333333
05/25 at 20:54:50,english,False      ,7   ,0.4256756756756757 ,0.5                ,0.6666666666666667
05/25 at 21:04:32,english,False      ,8   ,0.38550247116968706,0.6388888888888888 ,0.7222222222222222
05/25 at 21:14:14,english,False      ,9   ,0.41243862520458263,0.6944444444444444 ,0.6944444444444444